"location","State.x","County","X..Smokers","X..Adults.with.Obesity","X..Physically.Inactive","X..With.Access.to.Exercise.Opportunities","X..Excessive.Drinking","X..Uninsured","Primary.Care.Physicians.Ratio","Mental.Health.Provider.Ratio","X..Vaccinated","X..Unemployed","X..Children.in.Poverty","Average.Daily.PM2.5","X","State.y","Life.Expectancy","Premature.age.adjusted.mortality","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Frequent.Physical.Distress","Frequent.Mental.Distress","Adults.with.Diabetes","HIV.Prevalence.Rate","Food.Insecure","Limited.Access.to.Healthy.Foods","Insufficient.Sleep","Uninsured.adults","Other.Primary.Care.Provider.Ratio","Median.Household.Income","Suicide.Rate..Age.Adjusted.","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Population","less.than.18.years.of.age","pp.65.and.over","mean","sd","median","days","agg"
"Alabama Baldwin","Alabama","Baldwin",17,31,27,74,18,11,"1372:1","1038:1",44,3.6,14,10.3,1,"Alabama",78.5,2967,353,47,6,12,13,11,167,12,5,33,14,"1787:01:00",57588,19,87,218022,21.6,20.4,8.469723183,3.717849808,7.7,1156,9791
"Alabama Clay","Alabama","Clay",20,41,33,64,13,14,"2673:1","6638:1",43,3.9,26,10.6,2,"Alabama",75.2,275,531,NA,NA,15,16,14,174,15,2,39,17,"2213:01:00",39201,23,37,13275,20.2,20.7,8.501128472,4.035936371,7.85,1152,9793.3
"Alabama Colbert","Alabama","Colbert",19,31,37,56,15,10,"1557:1","2882:1",45,4.6,21,10.7,3,"Alabama",74.7,1044,510,67,9,14,14,16,100,15,7,37,12,"693:01:00",49055,18,81,54762,20.8,19.9,9.578971993,4.527556723,8.9,1806,17299.62342
"Alabama DeKalb","Alabama","DeKalb",21,29,32,45,12,17,"2387:1","3757:1",40,3.8,30,11.3,4,"Alabama",74.5,1302,514,62,7,16,16,13,88,12,2,36,23,"1741:01:00",39491,19,53,71385,24.1,17.3,8.941139804,4.088671727,8.4,1123,10040.9
"Alabama Etowah","Alabama","Etowah",20,36,34,49,14,12,"1238:1","827:1",36,4.1,29,11.5,5,"Alabama",73,2201,571,73,8,15,15,16,187,15,9,41,16,"1281:01:00",44903,16,140,102501,21.5,19,11.92788861,17.16551703,10.8729165,4226,50407.25727
"Alabama Houston","Alabama","Houston",19,38,31,67,14,11,"1186:1","694:1",45,4,22,10.7,6,"Alabama",75.9,1637,441,89,10,14,15,14,367,17,6,37,14,"620:01:00",47993,15,140,104722,23,17.8,9.993455195,5.091607231,8.9,1779,17778.35679
"Alabama Jefferson","Alabama","Jefferson",18,35,30,79,15,10,"930:1","565:1",44,3.7,23,13.4,7,"Alabama",74.7,11214,501,84,11,14,15,13,621,18,12,36,13,"698:01:00",55013,13,419,659300,22.8,15.9,10.48326727,4.616036428,9.7,54639,572795.2401
"Alabama Lawrence","Alabama","Lawrence",20,33,36,49,14,14,"6610:1","804:1",40,4.2,31,11.3,8,"Alabama",73.8,666,534,84,NA,15,15,19,82,13,2,39,17,"2746:01:00",43909,22,30,32957,21.6,18.7,7.102471483,3.694521566,6.3,1052,7471.8
"Alabama Madison","Alabama","Madison",17,33,22,69,16,9,"1132:1","697:1",45,3.5,17,11.6,9,"Alabama",77.4,4805,393,63,7,13,14,14,237,14,7,36,12,"858:01:00",63755,16,199,366519,21.8,15,9.159666836,3.910996788,8.6,3019,27653.03418
"Alabama Mobile","Alabama","Mobile",19,36,31,70,15,12,"1489:1","1083:1",41,4.7,31,10.8,10,"Alabama",75.1,7126,496,75,9,14,16,14,511,18,10,37,15,"898:01:00",43598,16,253,413757,23.4,16.2,8.506209501,4.66980599,8.1,4711,40072.75296
"Alabama Montgomery","Alabama","Montgomery",20,38,29,74,14,11,"1026:1","697:1",38,4,31,11.9,11,"Alabama",76.1,3323,445,94,9,15,15,14,750,21,15,37,14,"803:01:00",49640,11,359,225763,23.4,15.1,10.9520003,5.876751193,10.3,5936,65011.07379
"Alabama Morgan","Alabama","Morgan",19,32,27,59,14,12,"2049:1","692:1",44,3.5,20,11.6,12,"Alabama",75.5,1988,463,50,8,14,14,13,141,13,4,38,15,"1452:01:00",52797,22,123,119089,22.8,17.5,8.058983377,4.064836134,7.620833,5502,44340.52654
"Alabama Russell","Alabama","Russell",22,45,32,64,13,11,"3803:1","2408:1",40,4,32,12.1,13,"Alabama",73.5,1098,572,76,9,15,16,19,417,19,6,41,15,"4445:01:00",39104,17,222,57781,24.2,14.3,10.4874827,5.018643877,9.6,4839,50748.92878
"Alabama Shelby","Alabama","Shelby",16,35,25,84,17,8,"1242:1","1254:1",44,2.9,9,12,14,"Alabama",80.5,2188,295,44,6,12,12,11,155,9,4,37,10,"1828:01:00",75663,14,113,215707,23.5,15.3,9.902463054,4.073115948,9.3,609,6030.6
"Alabama Sumter","Alabama","Sumter",22,43,38,36,11,11,"1812:1","6346:1",28,5.9,48,10.4,15,"Alabama",73.8,238,574,130,NA,19,18,21,323,28,10,43,14,"6346:01:00",27859,NA,13,12691,19,18,6.298907012,3.911778778,5.9,3308,20836.7844
"Alabama Talladega","Alabama","Talladega",23,39,35,48,14,10,"3203:1","5322:1",34,4.3,26,11.5,16,"Alabama",73.1,1705,574,69,8,15,16,16,268,17,6,42,13,"1856:01:00",41630,18,69,79828,21.2,18,9.999005525,4.399988574,9.4,905,9049.1
"Alabama Tuscaloosa","Alabama","Tuscaloosa",18,35,30,76,16,9,"1385:1","757:1",44,3.7,21,11.3,17,"Alabama",76.3,2750,430,79,9,14,15,12,247,16,6,38,12,"1039:01:00",52557,11,230,208911,20.9,13.3,11.51811414,4.790661071,10.9,4130,47569.81138
"Alabama Walker","Alabama","Walker",23,40,36,44,14,12,"2464:1","2197:1",40,4.2,25,11.6,18,"Alabama",70.3,1675,705,95,9,16,16,14,144,15,5,39,15,"1327:01:00",45434,23,28,63711,22.2,19.3,11.30863636,4.58513261,10.75,220,2487.9
"Arizona Apache","Arizona","Apache",22,34,27,19,13,19,"3113:1","1122:1",38,10.1,47,5.7,19,"Arizona",72.9,1296,599,105,9,18,18,17,194,24,47,35,23,"1330:01:00",33652,36,14,71818,27.2,15.3,2.623778502,1.840804104,2.3,1842,4833
"Arizona Cochise","Arizona","Cochise",15,30,25,60,15,10,"1835:1","829:1",33,5.6,23,7.5,20,"Arizona",78.8,1785,367,50,5,13,13,11,187,14,14,31,12,"1207:01:00",49164,22,37,126770,21.5,22.3,5.43816374,3.082188458,5.088933,6320,34369.19484
"Arizona Coconino","Arizona","Coconino",16,24,17,83,17,13,"1183:1","484:1",39,5.5,17,5.6,21,"Arizona",79,1508,366,65,6,13,13,8,114,18,14,31,15,"972:01:00",60187,25,106,142854,20.6,12.5,3.855665567,3.363843069,3.1,2727,10514.4
"Arizona Gila","Arizona","Gila",18,31,27,92,16,13,"2140:1","1540:1",38,5.9,34,5.8,22,"Arizona",74.1,1154,558,92,7,14,14,15,95,17,16,32,15,"1347:01:00",43585,40,120,53889,20.1,28.8,3.729675516,2.945510393,3.2,1695,6321.8
"Arizona La Paz","Arizona","La Paz",16,30,40,39,13,20,"3434:1","1241:1",27,6.2,32,5.7,23,"Arizona",76.9,505,656,79,NA,14,14,14,145,15,19,32,23,"1758:01:00",37350,36,112,21098,16.8,39.3,3.428371527,2.661670601,3.291667,4348,14906.5594
"Arizona Maricopa","Arizona","Maricopa",14,27,20,92,18,12,"1421:1","741:1",47,4.1,18,10.6,24,"Arizona",80.4,43437,308,47,6,11,12,9,309,14,4,34,14,"946:01:00",65234,16,885,4410824,23.9,15.2,8.528365826,6.093597838,7.154167,58794,501416.7404
"Arizona Mohave","Arizona","Mohave",19,32,32,59,16,13,"2031:1","1406:1",38,5.8,27,5.1,25,"Arizona",75.7,4801,503,55,5,13,14,14,130,17,20,33,15,"1197:01:00",45129,32,64,209550,17.1,30.3,3.32867182,2.430978311,2.9,1423,4736.7
"Arizona Navajo","Arizona","Navajo",21,34,29,56,14,15,"1602:1","1269:1",39,7.8,40,5.7,26,"Arizona",74.4,1820,520,79,8,16,16,15,151,21,25,35,18,"1062:01:00",40650,36,65,110445,26.7,18.1,3.025641026,1.918522803,2.6,1053,3186
"Arizona Pima","Arizona","Pima",15,25,20,88,17,11,"1185:1","547:1",47,4.5,22,7.9,27,"Arizona",79.6,12658,348,43,5,12,12,8,281,14,8,31,13,"1032:01:00",53395,19,1865,1039073,20.9,19.8,5.040959128,2.861659475,4.6,19202,96796.49719
"Arizona Pinal","Arizona","Pinal",16,33,29,66,16,11,"6235:1","1411:1",42,5,18,11.7,28,"Arizona",82.2,4896,311,46,6,13,13,13,254,13,7,35,13,"1927:01:00",58848,17,64,447138,22.5,20.4,9.362690922,6.540532032,7.6,10596,99207.07301
"Arizona Santa Cruz","Arizona","Santa Cruz",15,27,20,67,14,14,"2009:1","2907:1",34,9.3,36,7.6,29,"Arizona",83.6,351,221,41,5,15,14,8,132,10,13,31,17,"3876:01:00",40545,9,168,46511,26.7,18.1,9.078027103,7.89130149,7.1,6044,54867.59581
